"Name","activation","batch_size","decay","hidden_layers","learning_rate","momentum","neurons","optimizer","weight_init","val_accuracy"
"assignment_1_log_images","relu","128","0.5","1","0.001","0.9","32","nadam","xavier",""
"sigmoid_neurons=32_layers=4_lr=0.0005_batch=32_opt=adam_mom=0.8_init=random","sigmoid","32","0.5","4","0.0005","0.8","32","adam","random","0.4715"
"identity_neurons=16_layers=2_lr=0.001_batch=16_opt=sgd_mom=0.8_init=xavier","identity","16","0.5","2","0.001","0.8","16","sgd","xavier","0.0995"
"tanh_neurons=64_layers=2_lr=0.05_batch=64_opt=nadam_mom=0.9_init=xavier","tanh","64","0.5","2","0.05","0.9","64","nadam","xavier","0.7301666666666666"
"relu_neurons=16_layers=2_lr=0.0001_batch=32_opt=nag_mom=0.7_init=random","relu","32","0.0005","2","0.0001","0.7","16","nag","random","0.2608333333333333"
"relu_neurons=128_layers=3_lr=0.005_batch=32_opt=rmsprop_mom=0.8_init=xavier","relu","32","0","3","0.005","0.8","128","rmsprop","xavier","0.7538333333333334"
"relu_neurons=32_layers=3_lr=0.01_batch=32_opt=adam_mom=0.8_init=xavier","relu","32","0.0005","3","0.01","0.8","32","adam","xavier","0.8716666666666667"
"identity_neurons=16_layers=1_lr=0.0005_batch=16_opt=sgd_mom=0.8_init=xavier","identity","16","0","1","0.0005","0.8","16","sgd","xavier","0.7971666666666667"
"relu_neurons=32_layers=1_lr=0.0005_batch=64_opt=sgd_mom=0.9_init=random","relu","64","0.5","1","0.0005","0.9","32","sgd","random","0.6315"
"relu_neurons=128_layers=3_lr=0.01_batch=32_opt=rmsprop_mom=0.9_init=random","relu","32","0.0005","3","0.01","0.9","128","rmsprop","random","0.09833333333333331"
"identity_neurons=64_layers=3_lr=0.001_batch=32_opt=nag_mom=0.7_init=xavier","identity","32","0.0005","3","0.001","0.7","64","nag","xavier","0.8481666666666666"
"tanh_neurons=32_layers=4_lr=0.1_batch=16_opt=momentum_mom=0.9_init=xavier","tanh","16","0.0005","4","0.1","0.9","32","momentum","xavier","0.10183333333333332"
"sigmoid_neurons=16_layers=2_lr=0.01_batch=64_opt=nadam_mom=0.9_init=random","sigmoid","64","0.5","2","0.01","0.9","16","nadam","random","0.4485"
"identity_neurons=128_layers=3_lr=0.01_batch=32_opt=nag_mom=0.9_init=random","identity","32","0","3","0.01","0.9","128","nag","random","0.09866666666666668"
"relu_neurons=128_layers=3_lr=0.001_batch=32_opt=nadam_mom=0.9_init=random","relu","32","0","3","0.001","0.9","128","nadam","random","0.36933333333333335"
"identity_neurons=128_layers=1_lr=0.0001_batch=128_opt=rmsprop_mom=0.9_init=random","identity","128","0.5","1","0.0001","0.9","128","rmsprop","random","0.5276666666666666"
"relu_neurons=32_layers=1_lr=0.1_batch=64_opt=sgd_mom=0.8_init=xavier","relu","64","0.5","1","0.1","0.8","32","sgd","xavier","0.38516666666666666"
"tanh_neurons=64_layers=3_lr=0.05_batch=64_opt=momentum_mom=0.8_init=random","tanh","64","0","3","0.05","0.8","64","momentum","random","0.796"
"sigmoid_neurons=32_layers=4_lr=0.0005_batch=32_opt=rmsprop_mom=0.9_init=xavier","sigmoid","32","0.5","4","0.0005","0.9","32","rmsprop","xavier","0.7018333333333333"
"sigmoid_neurons=32_layers=4_lr=0.1_batch=64_opt=nadam_mom=0.9_init=random","sigmoid","64","0","4","0.1","0.9","32","nadam","random","0.6146666666666667"
"relu_neurons=128_layers=4_lr=0.005_batch=64_opt=nag_mom=0.7_init=random","relu","64","0.0005","4","0.005","0.7","128","nag","random","0.1035"
"tanh_neurons=128_layers=3_lr=0.001_batch=16_opt=rmsprop_mom=0.9_init=xavier","tanh","16","0.5","3","0.001","0.9","128","rmsprop","xavier","0.8171666666666667"
"identity_neurons=128_layers=3_lr=0.005_batch=128_opt=sgd_mom=0.7_init=random","identity","128","0.0005","3","0.005","0.7","128","sgd","random","0.19966666666666663"
"sigmoid_neurons=32_layers=1_lr=0.0001_batch=64_opt=nadam_mom=0.8_init=random","sigmoid","64","0.5","1","0.0001","0.8","32","nadam","random","0.5628333333333333"
"relu_neurons=64_layers=4_lr=0.05_batch=16_opt=nag_mom=0.9_init=xavier","relu","16","0.0005","4","0.05","0.9","64","nag","xavier","0.10316666666666668"
"tanh_neurons=16_layers=3_lr=0.0005_batch=16_opt=momentum_mom=0.9_init=random","tanh","16","0.0005","3","0.0005","0.9","16","momentum","random","0.6806666666666666"
"identity_neurons=128_layers=1_lr=0.005_batch=128_opt=nag_mom=0.7_init=random","identity","128","0","1","0.005","0.7","128","nag","random","0.338"
"tanh_neurons=32_layers=4_lr=0.01_batch=128_opt=nag_mom=0.9_init=random","tanh","128","0.5","4","0.01","0.9","32","nag","random","0.7621666666666667"
"tanh_neurons=64_layers=3_lr=0.05_batch=128_opt=adam_mom=0.9_init=random","tanh","128","0.5","3","0.05","0.9","64","adam","random","0.7908333333333334"
"identity_neurons=128_layers=2_lr=0.01_batch=64_opt=nag_mom=0.7_init=random","identity","64","0.5","2","0.01","0.7","128","nag","random","0.6145"
"relu_neurons=16_layers=1_lr=0.0001_batch=128_opt=momentum_mom=0.7_init=xavier","relu","128","0.0005","1","0.0001","0.7","16","momentum","xavier","0.5186666666666667"
"sigmoid_neurons=128_layers=3_lr=0.01_batch=128_opt=nag_mom=0.8_init=xavier","sigmoid","128","0.0005","3","0.01","0.8","128","nag","xavier","0.7155"
"tanh_neurons=16_layers=2_lr=0.05_batch=64_opt=momentum_mom=0.9_init=xavier","tanh","64","0","2","0.05","0.9","16","momentum","xavier","0.8515"
"identity_neurons=128_layers=2_lr=0.0005_batch=32_opt=nadam_mom=0.9_init=xavier","identity","32","0.5","2","0.0005","0.9","128","nadam","xavier","0.8225"
"identity_neurons=64_layers=4_lr=0.005_batch=64_opt=nag_mom=0.7_init=xavier","identity","64","0.0005","4","0.005","0.7","64","nag","xavier","0.8508333333333333"
"relu_neurons=32_layers=4_lr=0.05_batch=128_opt=nag_mom=0.7_init=random","relu","128","0.0005","4","0.05","0.7","32","nag","random","0.10316666666666668"
"identity_neurons=64_layers=2_lr=0.01_batch=16_opt=adam_mom=0.8_init=xavier","identity","16","0.0005","2","0.01","0.8","64","adam","xavier","0.381"
"sigmoid_neurons=16_layers=4_lr=0.05_batch=32_opt=momentum_mom=0.9_init=random","sigmoid","32","0.0005","4","0.05","0.9","16","momentum","random","0.8336666666666667"
"tanh_neurons=16_layers=2_lr=0.1_batch=32_opt=sgd_mom=0.7_init=random","tanh","32","0.5","2","0.1","0.7","16","sgd","random","0.10316666666666668"
"relu_neurons=32_layers=2_lr=0.0001_batch=128_opt=adam_mom=0.8_init=random","relu","128","0","2","0.0001","0.8","32","adam","random","0.24616666666666667"
"sigmoid_neurons=32_layers=1_lr=0.001_batch=64_opt=nag_mom=0.7_init=xavier","sigmoid","64","0.0005","1","0.001","0.7","32","nag","xavier","0.7341666666666666"
"tanh_neurons=16_layers=2_lr=0.01_batch=32_opt=rmsprop_mom=0.9_init=random","tanh","32","0","2","0.01","0.9","16","rmsprop","random","0.8156666666666667"
"relu_neurons=128_layers=3_lr=0.0001_batch=16_opt=rmsprop_mom=0.9_init=xavier","relu","16","0.5","3","0.0001","0.9","128","rmsprop","xavier","0.8725"
"identity_neurons=16_layers=1_lr=0.0005_batch=64_opt=sgd_mom=0.8_init=random","identity","64","0","1","0.0005","0.8","16","sgd","random","0.4128333333333334"
"sigmoid_neurons=32_layers=4_lr=0.01_batch=64_opt=nag_mom=0.7_init=random","sigmoid","64","0.0005","4","0.01","0.7","32","nag","random","0.7356666666666667"
"relu_neurons=16_layers=4_lr=0.001_batch=64_opt=sgd_mom=0.9_init=random","relu","64","0.0005","4","0.001","0.9","16","sgd","random","0.31616666666666665"
"identity_neurons=128_layers=4_lr=0.001_batch=32_opt=adam_mom=0.8_init=random","identity","32","0.5","4","0.001","0.8","128","adam","random","0.8213333333333334"
"tanh_neurons=128_layers=1_lr=0.001_batch=32_opt=nadam_mom=0.9_init=random","tanh","32","0","1","0.001","0.9","128","nadam","random","0.789"
"relu_neurons=128_layers=3_lr=0.001_batch=32_opt=nag_mom=0.9_init=xavier","relu","32","0.5","3","0.001","0.9","128","nag","xavier","0.7641666666666667"
"tanh_neurons=128_layers=4_lr=0.0001_batch=128_opt=sgd_mom=0.7_init=random","tanh","128","0","4","0.0001","0.7","128","sgd","random","0.1495"
"sigmoid_neurons=16_layers=2_lr=0.0005_batch=128_opt=nadam_mom=0.7_init=xavier","sigmoid","128","0.5","2","0.0005","0.7","16","nadam","xavier","0.523"
"sigmoid_neurons=64_layers=2_lr=0.01_batch=16_opt=sgd_mom=0.8_init=xavier","sigmoid","16","0.0005","2","0.01","0.8","64","sgd","xavier","0.8141666666666667"
"identity_neurons=64_layers=2_lr=0.01_batch=32_opt=nadam_mom=0.9_init=xavier","identity","32","0","2","0.01","0.9","64","nadam","xavier","0.4655"
"identity_neurons=32_layers=3_lr=0.0005_batch=32_opt=adam_mom=0.7_init=xavier","identity","32","0.0005","3","0.0005","0.7","32","adam","xavier","0.8496666666666667"
"sigmoid_neurons=64_layers=3_lr=0.001_batch=64_opt=adam_mom=0.9_init=random","sigmoid","64","0.0005","3","0.001","0.9","64","adam","random","0.8055"
"tanh_neurons=128_layers=1_lr=0.001_batch=128_opt=adam_mom=0.9_init=xavier","tanh","128","0.5","1","0.001","0.9","128","adam","xavier","0.8451666666666666"
"identity_neurons=128_layers=2_lr=0.0001_batch=32_opt=adam_mom=0.8_init=random","identity","32","0","2","0.0001","0.8","128","adam","random","0.25783333333333336"
"relu_neurons=32_layers=2_lr=0.005_batch=128_opt=nadam_mom=0.7_init=random","relu","128","0.0005","2","0.005","0.7","32","nadam","random","0.3641666666666667"
"relu_neurons=32_layers=2_lr=0.001_batch=64_opt=momentum_mom=0.9_init=xavier","relu","64","0.0005","2","0.001","0.9","32","momentum","xavier","0.8456666666666667"
"identity_neurons=64_layers=2_lr=0.1_batch=128_opt=adam_mom=0.9_init=random","identity","128","0","2","0.1","0.9","64","adam","random","0.1045"
"sigmoid_neurons=32_layers=4_lr=0.0005_batch=32_opt=adam_mom=0.9_init=random","sigmoid","32","0.0005","4","0.0005","0.9","32","adam","random","0.7698333333333334"
"relu_neurons=64_layers=1_lr=0.0001_batch=32_opt=adam_mom=0.7_init=random","relu","32","0.5","1","0.0001","0.7","64","adam","random","0.539"
"identity_neurons=16_layers=3_lr=0.05_batch=64_opt=sgd_mom=0.9_init=random","identity","64","0.0005","3","0.05","0.9","16","sgd","random","0.1035"
"sigmoid_neurons=64_layers=4_lr=0.1_batch=32_opt=nag_mom=0.7_init=xavier","sigmoid","32","0","4","0.1","0.7","64","nag","xavier","0.8451666666666666"
"sigmoid_neurons=32_layers=1_lr=0.1_batch=32_opt=rmsprop_mom=0.7_init=xavier","sigmoid","32","0.0005","1","0.1","0.7","32","rmsprop","xavier","0.7525"
"relu_neurons=64_layers=1_lr=0.05_batch=128_opt=rmsprop_mom=0.7_init=xavier","relu","128","0.0005","1","0.05","0.7","64","rmsprop","xavier","0.777"
"tanh_neurons=32_layers=4_lr=0.01_batch=128_opt=momentum_mom=0.7_init=xavier","tanh","128","0","4","0.01","0.7","32","momentum","xavier","0.8685"
"sigmoid_neurons=16_layers=3_lr=0.001_batch=32_opt=sgd_mom=0.9_init=random","sigmoid","32","0.5","3","0.001","0.9","16","sgd","random","0.09166666666666666"
"tanh_neurons=32_layers=4_lr=0.1_batch=64_opt=sgd_mom=0.9_init=xavier","tanh","64","0.5","4","0.1","0.9","32","sgd","xavier","0.10316666666666668"
"identity_neurons=64_layers=1_lr=0.0001_batch=64_opt=nadam_mom=0.9_init=random","identity","64","0","1","0.0001","0.9","64","nadam","random","0.32033333333333336"
"tanh_neurons=32_layers=1_lr=0.05_batch=32_opt=momentum_mom=0.7_init=random","tanh","32","0","1","0.05","0.7","32","momentum","random","0.8081666666666667"
"tanh_neurons=32_layers=1_lr=0.005_batch=16_opt=nag_mom=0.7_init=random","tanh","16","0.5","1","0.005","0.7","32","nag","random","0.647"
"sigmoid_neurons=32_layers=4_lr=0.05_batch=128_opt=momentum_mom=0.7_init=xavier","sigmoid","128","0","4","0.05","0.7","32","momentum","xavier","0.6753333333333333"
"identity_neurons=32_layers=2_lr=0.0005_batch=128_opt=nadam_mom=0.9_init=xavier","identity","128","0.5","2","0.0005","0.9","32","nadam","xavier","0.8206666666666667"
"relu_neurons=16_layers=1_lr=0.005_batch=16_opt=nadam_mom=0.7_init=random","relu","16","0.0005","1","0.005","0.7","16","nadam","random","0.8355"
"identity_neurons=16_layers=2_lr=0.1_batch=16_opt=adam_mom=0.9_init=xavier","identity","16","0.5","2","0.1","0.9","16","adam","xavier","0.5481666666666667"
"relu_neurons=64_layers=2_lr=0.05_batch=32_opt=adam_mom=0.7_init=xavier","relu","32","0","2","0.05","0.7","64","adam","xavier","0.0995"
"identity_neurons=32_layers=3_lr=0.0005_batch=32_opt=momentum_mom=0.9_init=random","identity","32","0.5","3","0.0005","0.9","32","momentum","random","0.777"
"tanh_neurons=32_layers=1_lr=0.1_batch=16_opt=nag_mom=0.8_init=xavier","tanh","16","0","1","0.1","0.8","32","nag","xavier","0.8153333333333334"
"sigmoid_neurons=128_layers=1_lr=0.05_batch=128_opt=adam_mom=0.8_init=random","sigmoid","128","0.5","1","0.05","0.8","128","adam","random","0.7911666666666667"
"relu_neurons=16_layers=2_lr=0.05_batch=16_opt=nadam_mom=0.7_init=random","relu","16","0.5","2","0.05","0.7","16","nadam","random","0.406"
"tanh_neurons=128_layers=3_lr=0.0001_batch=32_opt=rmsprop_mom=0.8_init=random","tanh","32","0.0005","3","0.0001","0.8","128","rmsprop","random","0.634"
"relu_neurons=32_layers=1_lr=0.0005_batch=32_opt=adam_mom=0.9_init=xavier","relu","32","0.5","1","0.0005","0.9","32","adam","xavier","0.7771666666666667"
"relu_neurons=64_layers=2_lr=0.005_batch=16_opt=adam_mom=0.7_init=random","relu","16","0.0005","2","0.005","0.7","64","adam","random","0.5205"
"relu_neurons=64_layers=1_lr=0.01_batch=64_opt=momentum_mom=0.8_init=xavier","relu","64","0","1","0.01","0.8","64","momentum","xavier","0.8736666666666667"
"relu_neurons=64_layers=3_lr=0.1_batch=32_opt=nadam_mom=0.8_init=random","relu","32","0","3","0.1","0.8","64","nadam","random","0.0995"
"tanh_neurons=32_layers=4_lr=0.001_batch=128_opt=sgd_mom=0.7_init=xavier","tanh","128","0.5","4","0.001","0.7","32","sgd","xavier","0.09166666666666666"
"identity_neurons=16_layers=3_lr=0.0001_batch=32_opt=rmsprop_mom=0.9_init=random","identity","32","0","3","0.0001","0.9","16","rmsprop","random","0.2715"
"identity_neurons=64_layers=3_lr=0.0001_batch=16_opt=rmsprop_mom=0.8_init=xavier","identity","16","0","3","0.0001","0.8","64","rmsprop","xavier","0.8468333333333333"
"tanh_neurons=128_layers=1_lr=0.0005_batch=128_opt=sgd_mom=0.7_init=random","tanh","128","0.5","1","0.0005","0.7","128","sgd","random","0.4706666666666667"
"tanh_neurons=128_layers=1_lr=0.005_batch=128_opt=adam_mom=0.9_init=xavier","tanh","128","0.5","1","0.005","0.9","128","adam","xavier","0.8375"
"relu_neurons=64_layers=2_lr=0.0001_batch=16_opt=sgd_mom=0.8_init=random","relu","16","0.5","2","0.0001","0.8","64","sgd","random","0.614"
"identity_neurons=64_layers=2_lr=0.05_batch=16_opt=rmsprop_mom=0.8_init=xavier","identity","16","0.0005","2","0.05","0.8","64","rmsprop","xavier","0.1035"
"identity_neurons=128_layers=4_lr=0.1_batch=32_opt=rmsprop_mom=0.9_init=random","identity","32","0.5","4","0.1","0.9","128","rmsprop","random","0.09716666666666668"
"relu_neurons=32_layers=3_lr=0.0005_batch=128_opt=momentum_mom=0.8_init=random","relu","128","0.0005","3","0.0005","0.8","32","momentum","random","0.22533333333333333"
"relu_neurons=128_layers=1_lr=0.0005_batch=16_opt=adam_mom=0.9_init=xavier","relu","16","0.0005","1","0.0005","0.9","128","adam","xavier","0.8755"
"relu_neurons=128_layers=1_lr=0.0001_batch=32_opt=momentum_mom=0.7_init=random","relu","32","0.5","1","0.0001","0.7","128","momentum","random","0.45016666666666666"
"identity_neurons=128_layers=2_lr=0.0005_batch=16_opt=sgd_mom=0.7_init=random","identity","16","0.0005","2","0.0005","0.7","128","sgd","random","0.3536666666666667"
"sigmoid_neurons=32_layers=1_lr=0.005_batch=128_opt=nag_mom=0.7_init=random","sigmoid","128","0.0005","1","0.005","0.7","32","nag","random","0.6643333333333333"
"tanh_neurons=16_layers=3_lr=0.01_batch=128_opt=adam_mom=0.9_init=xavier","tanh","128","0.0005","3","0.01","0.9","16","adam","xavier","0.8491666666666666"